tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,winner_rank,loser_rank,winner_surface_win_pct,loser_surface_win_pct,winner_surface_num_matches,loser_surface_num_matches
2016-0451,Doha,Hard,32,A,2016-01-04,270,104745,Rafael Nadal,L,185.0,ESP,29.5,105807,Pablo Carreno Busta,R,188.0,ESP,24.4,6-7(5) 6-3 6-1,3,R32,5.0,67.0,0.7832957110609481,0.34285714285714286,443,35
2016-0451,Doha,Hard,32,A,2016-01-04,271,104898,Robin Haase,R,190.0,NED,28.7,106234,Aslan Karatsev,R,185.0,RUS,22.3,5-7 6-1 7-5,3,R32,66.0,195.0,0.3925925925925926,0.2,135,5
2016-0451,Doha,Hard,32,A,2016-01-04,272,105723,Andrey Kuznetsov,R,185.0,RUS,24.8,104947,Marsel Ilhan,R,190.0,TUR,28.5,6-2 6-4,3,R32,79.0,114.0,0.3225806451612903,0.2894736842105263,31,38
2016-0451,Doha,Hard,32,A,2016-01-04,273,105575,Ricardas Berankis,R,175.0,LTU,25.5,104312,Andreas Seppi,R,190.0,ITA,31.8,3-6 6-1 6-4,3,R32,85.0,29.0,0.5121951219512195,0.44565217391304346,82,276
2016-0451,Doha,Hard,32,A,2016-01-04,274,105011,Illya Marchenko,R,185.0,UKR,28.3,103970,David Ferrer,R,175.0,ESP,33.7,6-7(8) 6-3 6-2,3,R32,94.0,7.0,0.42105263157894735,0.665158371040724,57,442
2016-0451,Doha,Hard,32,A,2016-01-04,275,104559,Teymuraz Gabashvili,R,188.0,RUS,30.6,104620,Simone Bolelli,R,183.0,ITA,30.2,4-6 6-4 6-1,3,R32,50.0,58.0,0.3576158940397351,0.38596491228070173,151,114
2016-0451,Doha,Hard,32,A,2016-01-04,276,103908,Paul Henri Mathieu,R,185.0,FRA,33.9,105077,Albert Ramos,L,188.0,ESP,27.9,6-3 4-6 7-6(7),3,R32,95.0,54.0,0.4738955823293173,0.34328358208955223,249,67
2016-0451,Doha,Hard,32,A,2016-01-04,278,103926,Daniel Munoz de la Nava,L,178.0,ESP,33.9,103852,Feliciano Lopez,L,188.0,ESP,34.2,3-6 7-6(4) 7-5,3,R32,75.0,17.0,0.3333333333333333,0.5213270142180095,6,422
2016-0451,Doha,Hard,32,A,2016-01-04,279,106378,Kyle Edmund,R,188.0,GBR,20.9,105373,Martin Klizan,L,190.0,SVK,26.4,6-2 6-3,3,R32,102.0,43.0,0.0,0.4430379746835443,5,79
2016-0451,Doha,Hard,32,A,2016-01-04,280,106000,Damir Dzumhur,R,172.0,BIH,23.6,106065,Marco Cecchinato,R,185.0,ITA,23.2,6-4 6-2,3,R32,82.0,90.0,0.3333333333333333,0.0,9,2
2016-0451,Doha,Hard,32,A,2016-01-04,281,104607,Tomas Berdych,R,196.0,CZE,30.2,104660,Sergiy Stakhovsky,R,193.0,UKR,29.9,7-5 6-4,3,R32,6.0,62.0,0.6610526315789473,0.4425287356321839,475,174
2016-0451,Doha,Hard,32,A,2016-01-04,282,104919,Leonardo Mayer,R,188.0,ARG,28.6,103794,Benjamin Becker,R,178.0,GER,34.5,6-1 6-2,3,R32,35.0,97.0,0.40404040404040403,0.42083333333333334,99,240
2016-0451,Doha,Hard,32,A,2016-01-04,283,104665,Pablo Andujar,R,180.0,ESP,29.9,103893,Paolo Lorenzi,R,183.0,ITA,34.0,6-4 0-6 6-4,3,R32,64.0,68.0,0.28125,0.2830188679245283,96,53
2016-0451,Doha,Hard,32,A,2016-01-04,284,104269,Fernando Verdasco,L,188.0,ESP,32.1,104291,Malek Jaziri,R,185.0,TUN,31.9,7-6(4) 7-6(4),3,R32,49.0,103.0,0.5433526011560693,0.40816326530612246,346,49
2016-0451,Doha,Hard,32,A,2016-01-04,285,104925,Novak Djokovic,R,188.0,SRB,28.6,104460,Dustin Brown,R,196.0,GER,31.0,6-2 6-2,3,R32,1.0,118.0,0.8483606557377049,0.3333333333333333,488,39
2016-0451,Doha,Hard,32,A,2016-01-04,286,104745,Rafael Nadal,L,185.0,ESP,29.5,104898,Robin Haase,R,190.0,NED,28.7,6-3 6-2,3,R16,5.0,66.0,0.7837837837837838,0.39705882352941174,444,136
2016-0451,Doha,Hard,32,A,2016-01-04,287,105723,Andrey Kuznetsov,R,185.0,RUS,24.8,105575,Ricardas Berankis,R,175.0,LTU,25.5,7-6(6) 6-1,3,R16,79.0,85.0,0.34375,0.5180722891566265,32,83
2016-0451,Doha,Hard,32,A,2016-01-04,288,105011,Illya Marchenko,R,185.0,UKR,28.3,104559,Teymuraz Gabashvili,R,188.0,RUS,30.6,6-4 6-2,3,R16,94.0,50.0,0.43103448275862066,0.3618421052631579,58,152
2016-0451,Doha,Hard,32,A,2016-01-04,289,104871,Jeremy Chardy,R,188.0,FRA,28.8,103908,Paul Henri Mathieu,R,185.0,FRA,33.9,6-2 6-4,3,R16,31.0,95.0,0.48258706467661694,0.476,201,250
2016-0451,Doha,Hard,32,A,2016-01-04,290,106378,Kyle Edmund,R,188.0,GBR,20.9,103926,Daniel Munoz de la Nava,L,178.0,ESP,33.9,5-7 6-3 7-6(3),3,R16,102.0,75.0,0.16666666666666666,0.42857142857142855,6,7
2016-0451,Doha,Hard,32,A,2016-01-04,291,104607,Tomas Berdych,R,196.0,CZE,30.2,106000,Damir Dzumhur,R,172.0,BIH,23.6,6-0 6-4,3,R16,6.0,82.0,0.6617647058823529,0.4,476,10
2016-0451,Doha,Hard,32,A,2016-01-04,292,104919,Leonardo Mayer,R,188.0,ARG,28.6,104665,Pablo Andujar,R,180.0,ESP,29.9,6-2 6-4,3,R16,35.0,64.0,0.41,0.28865979381443296,100,97
2016-0451,Doha,Hard,32,A,2016-01-04,293,104925,Novak Djokovic,R,188.0,SRB,28.6,104269,Fernando Verdasco,L,188.0,ESP,32.1,6-2 6-2,3,R16,1.0,49.0,0.8486707566462167,0.5446685878962536,489,347
2016-0451,Doha,Hard,32,A,2016-01-04,294,104745,Rafael Nadal,L,185.0,ESP,29.5,105723,Andrey Kuznetsov,R,185.0,RUS,24.8,6-3 5-7 6-4,3,QF,5.0,79.0,0.7842696629213484,0.36363636363636365,445,33
2016-0451,Doha,Hard,32,A,2016-01-04,295,105011,Illya Marchenko,R,185.0,UKR,28.3,104871,Jeremy Chardy,R,188.0,FRA,28.8,6-3 7-6(3),3,QF,94.0,31.0,0.4406779661016949,0.48514851485148514,59,202
2016-0451,Doha,Hard,32,A,2016-01-04,296,104607,Tomas Berdych,R,196.0,CZE,30.2,106378,Kyle Edmund,R,188.0,GBR,20.9,6-3 6-2,3,QF,6.0,102.0,0.6624737945492662,0.2857142857142857,477,7
2016-0451,Doha,Hard,32,A,2016-01-04,297,104925,Novak Djokovic,R,188.0,SRB,28.6,104919,Leonardo Mayer,R,188.0,ARG,28.6,6-3 7-5,3,QF,1.0,35.0,0.8489795918367347,0.4158415841584158,490,101
2016-0451,Doha,Hard,32,A,2016-01-04,298,104745,Rafael Nadal,L,185.0,ESP,29.5,105011,Illya Marchenko,R,185.0,UKR,28.3,6-3 6-4,3,SF,5.0,94.0,0.7847533632286996,0.45,446,60
2016-0451,Doha,Hard,32,A,2016-01-04,299,104925,Novak Djokovic,R,188.0,SRB,28.6,104607,Tomas Berdych,R,196.0,CZE,30.2,6-3 7-6(3),3,SF,1.0,6.0,0.8492871690427699,0.6631799163179917,491,478
2016-0451,Doha,Hard,32,A,2016-01-04,300,104925,Novak Djokovic,R,188.0,SRB,28.6,104745,Rafael Nadal,L,185.0,ESP,29.5,6-1 6-2,3,F,1.0,5.0,0.8495934959349594,0.785234899328859,492,447
2016-0891,Chennai,Hard,32,A,2016-01-04,271,106368,Ramkumar Ramanathan,R,188.0,IND,21.1,104593,Daniel Gimeno Traver,R,185.0,ESP,30.4,6-2 6-0,3,R32,248.0,98.0,0.25,0.26153846153846155,4,65
2016-0891,Chennai,Hard,32,A,2016-01-04,272,104563,Luca Vanni,R,198.0,ITA,30.5,105526,Jan Lennard Struff,R,193.0,GER,25.6,6-4 7-6(5),3,R32,106.0,107.0,0.0,0.42424242424242425,2,33
2016-0891,Chennai,Hard,32,A,2016-01-04,273,105379,Aljaz Bedene,R,181.0,SLO,26.4,105577,Vasek Pospisil,R,193.0,CAN,25.5,7-5 7-6(6),3,R32,45.0,39.0,0.4772727272727273,0.5043478260869565,44,115
2016-0891,Chennai,Hard,32,A,2016-01-04,275,105357,John Millman,R,183.0,AUS,26.5,105539,Evgeny Donskoy,R,185.0,RUS,25.6,6-7(5) 6-4 7-6(6),3,R32,92.0,91.0,0.3,0.3829787234042553,20,47
2016-0891,Chennai,Hard,32,A,2016-01-04,276,105572,Austin Krajicek,L,188.0,USA,25.5,104330,Rajeev Ram,R,193.0,USA,31.7,6-7(0) 6-4 6-4,3,R32,104.0,89.0,0.3888888888888889,0.2857142857142857,18,84
2016-0891,Chennai,Hard,32,A,2016-01-04,277,106432,Borna Coric,R,188.0,CRO,19.1,104719,Marcel Granollers,R,190.0,ESP,29.7,7-6(5) 2-6 6-4,3,R32,44.0,84.0,0.4444444444444444,0.436241610738255,36,149
2016-0891,Chennai,Hard,32,A,2016-01-04,278,104180,Gilles Muller,L,193.0,LUX,32.6,111575,Karen Khachanov,R,198.0,RUS,19.6,6-7(3) 7-6(4) 6-2,3,R32,38.0,152.0,0.5053763440860215,0.4,186,5
2016-0891,Chennai,Hard,32,A,2016-01-04,279,105341,Thomas Fabbiano,R,173.0,ITA,26.6,106075,Jozef Kovalik,R,183.0,SVK,23.1,1-6 6-3 6-4,3,R32,157.0,259.0,0.0,0,2,0
2016-0891,Chennai,Hard,32,A,2016-01-04,280,104586,Lukas Rosol,R,196.0,CZE,30.4,105053,Santiago Giraldo,R,188.0,COL,28.1,6-3 6-4,3,R32,55.0,70.0,0.375,0.38636363636363635,112,132
